Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD,
1,10,WM3801-ND,CONN HEADER 4POS 4.2MM VERT TIN,,10,0,0.68,6.8,
2,2,WM3800-ND,CONN HEADER 2POS 4.2MM VERT TIN,,2,0,0.62,1.24,
3,8,WM3701-ND,CONN RECEPT 4POS DUAL,,8,0,0.31,2.48,
4,2,WM3700-ND,CONN RECEPT 2POS DUAL,,2,0,0.28,0.56,
5,50,WM2503-ND,CONN TERM FEMALE 22-28AWG TIN,,50,0,0.1148,5.74,
6,2,EJ503A-ND,CONN PWR JACK 2.1X5.5MM SOLDER,,2,0,2.02,4.04,
7,2,993-1236-ND,AC/DC WALL MOUNT ADAPTER 5V 3W,,2,0,5.26,10.52,
8,1,CE2104N-25-ND,CABLE 4COND 22AWG NAT SHLD 25',,0,1,9.15,9.15,
9,1,C1362-21-50-ND,CABLE SPEAKER 2COND 22AWG 50',,1,0,10.21,21,
,,,,,,,,,
,,,,,,,,,
NONDIGIKEY,,,,,,,,,
Amazon (cheaper from aliexpress),2,WEMOS D1 Mini,,,1,0,$8.99 ,8.99,
OshPark,3,,,,3,,$10 ,31.1,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,101.62,TOTAL
